SeqId,BubbleSortNComp,BubbleSortTns,InsertionSortNComp,InsertionSortTns,MergeSortNComp,MergeSortTns,QuickSortNComp,QuickSortTns,QuickSortRandomNComp,QuickSortRandomTns,HeapSortNComp,HeapSortTns,
seq_50_0,1225,5368900,611,174300,594,237000,317,109500,334,167700,414,336600,
seq_50_1,1225,286300,590,135300,1196,177800,641,116700,640,117200,420,317300,
seq_50_2,1225,697900,768,358700,1800,253800,931,131600,1035,214700,405,135200,
seq_50_3,1225,297500,664,166600,2394,236600,1341,94000,1346,162800,424,61300,
seq_50_4,1225,322600,670,153600,2980,204900,1710,85100,1638,85300,423,93800,
seq_50_5,1225,541100,696,240900,3578,153900,2000,51700,1966,65200,418,59000,
seq_50_6,1225,278600,690,125900,4184,158200,2282,44500,2258,57700,414,50500,
seq_50_7,1225,286700,655,119700,4782,147500,2572,48900,2576,70300,424,55900,
seq_50_8,1225,267700,663,115300,5388,146300,2858,61800,2906,70200,410,53500,
seq_50_9,1225,297100,679,124200,5980,65300,3204,63800,3253,79700,414,58600,
seq_50_10,1225,274100,642,134300,6572,61800,3502,20600,3631,38500,412,64700,
seq_50_11,1225,267000,610,104800,7176,68500,3811,20200,3925,41100,419,51800,
seq_50_12,1225,276500,622,114000,7772,66200,4155,22500,4276,40200,428,59800,
seq_50_13,1225,258300,506,95300,8342,62900,4495,24000,4605,36000,422,58600,
seq_50_14,1225,260200,618,111700,8940,65700,4795,19300,4910,34600,427,54200,
seq_50_15,1225,273700,639,115700,9526,61900,5098,21900,5249,41500,412,55800,
seq_50_16,1225,284600,672,119700,10114,62400,5377,19100,5543,39200,418,55800,
seq_50_17,1225,286000,706,121800,10704,60500,5717,21800,5826,29100,396,54300,
seq_50_18,1225,279800,686,121400,11306,65100,6056,24700,6128,77500,424,49200,
seq_50_19,1225,251600,731,114900,11906,58500,6375,26600,6470,28700,407,56600,
seq_50_20,1225,3193600,696,128400,12494,67200,6693,21600,6805,23200,420,78300,
seq_50_21,1225,268200,667,116400,13084,61800,7009,22700,7232,27700,411,51600,
seq_50_22,1225,252400,561,100500,13676,65900,7297,20000,7615,27100,421,53000,
seq_50_23,1225,310500,634,120500,14266,62600,7617,23800,8017,25700,422,50800,
seq_50_24,1225,286400,738,131300,14862,65400,7936,20000,8364,26900,406,54900,
seq_50_25,1225,273700,493,84500,15466,55000,8246,15200,8767,26600,425,55900,
seq_50_26,1225,290500,723,124500,16056,65700,8538,18600,9081,25600,425,48500,
seq_50_27,1225,511900,674,226100,16648,55000,8842,20300,9382,24700,408,56900,
seq_50_28,1225,543500,719,121100,17236,63200,9192,27600,9752,28300,416,52100,
seq_50_29,1225,281200,594,118000,17836,97600,9478,19800,10083,28200,406,54500,
seq_50_30,1225,266000,668,130800,18436,59700,9816,21500,10393,22800,418,45400,
seq_50_31,1225,265200,650,114000,19028,62100,10154,20800,10699,26100,423,50800,
seq_50_32,1225,263800,681,124800,19610,109700,10466,19300,10986,21800,435,58800,
seq_50_33,1225,848100,602,200500,20198,51700,10797,21800,11287,27600,415,57400,
seq_50_34,1225,294700,775,138600,20774,52800,11129,23800,11604,45200,416,48700,
seq_50_35,1225,285400,701,125200,21374,59400,11438,23400,11980,31800,416,52700,
seq_50_36,1225,294300,740,129700,21956,53200,11799,24400,12287,22600,418,46100,
seq_50_37,1225,533700,728,215900,22544,57900,12103,20300,12603,26700,420,46600,
seq_50_38,1225,372300,660,246000,23144,58800,12413,17900,12920,25200,410,61400,
seq_50_39,1225,525900,732,257900,23738,55700,12740,20400,13231,23400,413,65100,
seq_50_40,1225,503200,621,223700,24334,56100,13051,19800,13547,29900,411,52800,
seq_50_41,1225,268500,681,105500,24932,54200,13328,17800,13870,29500,400,53000,
seq_50_42,1225,273600,758,136400,25522,51400,13690,37600,14207,23300,414,45200,
seq_50_43,1225,260600,668,108000,26112,51600,14052,29700,14525,24600,410,33000,
seq_50_44,1225,292200,642,130500,26700,54700,14350,21200,14911,28000,415,21400,
seq_50_45,1225,272600,682,157900,27288,65900,14653,21600,15251,25600,417,24400,
seq_50_46,1225,273600,734,128700,27884,76900,15046,25900,15542,24700,416,19900,
seq_50_47,1225,274500,556,93900,28474,58500,15375,25200,15898,30300,411,62200,
seq_50_48,1225,292000,732,154000,29058,56900,15765,39300,16248,21100,405,18200,
seq_50_49,1225,162900,664,120900,29642,48300,16106,17500,16542,20800,417,21000,
seq_50_50,1225,63600,644,102900,30236,55800,16437,12300,16897,30000,417,18300,
seq_50_51,1225,72600,697,146800,30814,50200,16745,12200,17287,27900,408,18300,
seq_50_52,1225,74100,629,114800,31414,47000,17106,16700,17607,31400,410,22500,
seq_50_53,1225,90700,730,141100,32002,55900,17403,15400,17954,35100,398,22900,
